Price
44.43
44.43
44.43
44.43
44.8
44.93
45.53
42.52
33.02
18.13
26.04
36.5
36.82
38.92
37.08
42.14
36.97
36.88
46.44
49.81
50.08
51.44
48.49
42.41
40.09
47.17
48.28
45.24
49.09
42.35
41.62
36.38
54.18
56.66
53.67
52.53
52.09
52.49
48.29
62.04
62.09
55.88
54.24
48.85
40.41
41.85
54.93
49.86
51.11
52.07
50.96
48.15
39.58
46.97
46.23
49.12
48.03
48.81
46.47
26.59
45.54
51.2
47.59
49.46
50.36
40.85
30.48
44.71
47.17
46.08
44.99
44.61
40.84
39.17
54.08
47.51
45.12
42.25
40.84
44.37
32.15
52.87
56.6
57.02
50.35
50.86
35.62
18.7
39.15
40.52
44.12
50.05
46.79
30.15
28.28
34.05
52.16
54.05
52.6
46.61
36.03
24.13
48.66
44.27
46.09
44.91
42.67
25.07
24.3
41.82
41.91
39.09
39.34
35.92
26.51
23.08
39.75
41.3
41.48
40.29
21.64
25.09
16.2
34.72
27.84
30.37
38.56
25.11
16.86
12.31
31.26
28.4
27.09
20.11
29.93
21.16
14.42
29.7
29.69
35.5
35.47
32.87
24.61
19.29
23.6
33.71
31.67
33.11
32.98
21.04
15.92
31.44
23.58
31.62
31.62
39.04
24.78
18.48
32.98
33.79
32.43
37.21
35.69
25.5
19.47
35.34
38.75
31.72
36.97
36.21
26.38
18.83
34.6
37.55
35.54
42.2
40.41
29.8
25.1
37.74
39.9
42.77
48.71
50.22
34.91
28.84
47.35
49.06
37.85
39.13
39.35
35.1
28.07
40.33
35.34
47.29
47.07
42.03
38.77
30.92
43.89
50.9
45.8
48.32
44.14
19.73
16.79
25.18
26.7
28.12
31.29
31.4
25.51
19.14
31.71
36.85
35.39
36.42
35.48
27.71
27.36
33.37
37.06
35.48
31.44
30.05
26.42
25.72
38.72
35.39
38.16
33.26
30.51
30.57
19.29
32.2
32.02
32.08
36.53
43.35
33.4
27.03
40.29
42.23
41.36
41.73
37.15
28.61
17.52
37.12
38.23
37.71
38.48
39.48
34.49
28.62
37.12
37.21
36.38
36.25
38.0
30.71
24.0
40.04
42.72
47.94
44.92
45.41
38.56
33.28
44.58
42.1
41.49
42.92
45.9
38.09
36.07
41.23
39.45
42.31
48.34
45.52
37.89
30.97
44.99
46.21
51.91
53.06
55.55
43.62
40.71
54.44
53.19
51.79
49.08
50.02
39.24
36.34
47.27
45.6
49.37
50.71
45.07
36.75
30.66
42.56
45.47
46.3
46.22
39.69
33.78
30.37
37.28
41.09
36.69
46.38
38.56
39.08
33.02
37.64
35.72
42.77
40.98
39.66
33.1
37.06
64.64
60.1
55.5
57.14
53.67
37.59
30.73
37.51
45.39
53.56
45.3
38.21
36.78
31.29
40.8
38.07
52.08
50.62
46.24
38.6
37.61
48.62
44.48
38.05
33.74
35.11
28.97
20.68
32.94
29.52
30.47
22.29
17.92
14.98
18.7
30.52
33.61
29.73
24.07
23.59
23.32
17.69
28.44
33.9
34.97
34.49
32.06
28.62
21.07
32.56
31.47
36.62
39.47
39.2
35.46
35.93
47.73
54.36
59.05
59.33
42.7
33.25
31.19
31.59
31.05
27.03
30.84
29.09
18.84
16.46
23.45
23.34
24.72
26.78
28.45
16.54
13.56
19.93
24.2
27.93
31.92
28.59
22.93
16.23
26.51
35.23
39.3
37.12
32.8
19.29
12.36
22.71
30.06
29.65
29.62
28.15
22.96
18.38
27.97
31.21
26.42
29.51
29.96
23.84
21.81
32.86
32.3
28.18
31.3
29.68
27.71
22.61
27.97
29.61
28.68
30.26
31.3
26.82
21.11
32.44
33.04
29.96
28.85
26.75
18.85
11.39
9.93
27.58
29.63
28.13
32.23
25.52
16.28
28.69
27.02
26.37
24.5
28.66
23.71
17.28
24.26
28.08
27.86
26.71
25.13
18.75
18.8
26.33
24.58
24.6
26.66
26.49
21.93
15.61
27.28
29.64
32.4
34.08
30.39
24.52
18.99
28.81
29.3
27.48
19.37
23.42
14.69
7.41
25.85
30.04
27.67
26.76
26.63
13.93
12.29
22.43
31.0
31.32
33.44
28.98
19.86
11.75
30.68
29.98
31.42
29.58
30.29
23.41
11.43
